Algorithm,KPCA Components,Test Size,Kernel,Gamma,Train Size,Test Samples,Accuracy,Precision,Recall,F1 Score
Decision Tree,5,0.2,rbf,15,1141771,285443,0.8151574920386907,0.6736832663364053,0.8151574920386907,0.7337814685558831
Random Forest,5,0.2,rbf,15,1141771,285443,0.8151574920386907,0.6736832663364053,0.8151574920386907,0.7337814685558831
Gradient Boosting,5,0.2,rbf,15,1141771,285443,0.8151469820594655,0.6727181649733253,0.8151469820594655,0.7335468275314062
XGBoost,5,0.2,rbf,15,1141771,285443,0.8122707510781487,0.6612136738979225,0.8122707510781487,0.7289992597362265
LightGBM,5,0.2,rbf,15,1141771,285443,0.8116471589774491,0.6661373746681439,0.8116471589774491,0.7310143162444258
Decision Tree,5,0.3,rbf,15,999049,428165,0.8529001669916971,0.8505795215299634,0.8529001669916971,0.8095026912724401
Random Forest,5,0.3,rbf,15,999049,428165,0.8529001669916971,0.8505795215299634,0.8529001669916971,0.8095026912724401
Gradient Boosting,5,0.3,rbf,15,999049,428165,0.8529001669916971,0.8505795215299634,0.8529001669916971,0.8095026912724401
XGBoost,5,0.3,rbf,15,999049,428165,0.8529001669916971,0.8505795215299634,0.8529001669916971,0.8095026912724401
LightGBM,5,0.3,rbf,15,999049,428165,0.8481823596043582,0.8472128565820916,0.8481823596043582,0.8012902607191905
Decision Tree,5,0.4,rbf,15,856328,570886,0.8371391135883521,0.8380481470625128,0.8371391135883521,0.7832407489729235
Random Forest,5,0.4,rbf,15,856328,570886,0.8371426169147606,0.837948112420184,0.8371426169147606,0.783265632104317
Gradient Boosting,5,0.4,rbf,15,856328,570886,0.8353489137936471,0.8352453344288517,0.8353489137936471,0.7799630164620066
XGBoost,5,0.4,rbf,15,856328,570886,0.8316318844743084,0.8303096214595554,0.8316318844743084,0.7720656474746729
LightGBM,5,0.4,rbf,15,856328,570886,0.8269129038021602,0.8233681269966717,0.8269129038021602,0.7625314505706596
Decision Tree,5,0.5,rbf,15,713607,713607,0.8438930671924463,0.8547327355100706,0.8438930671924463,0.7951235467036192
Random Forest,5,0.5,rbf,15,713607,713607,0.8439309031441676,0.8547689704907813,0.8439309031441676,0.7952010224519781
Gradient Boosting,5,0.5,rbf,15,713607,713607,0.8432484546816384,0.849853907448546,0.8432484546816384,0.7931976815379094
XGBoost,5,0.5,rbf,15,713607,713607,0.8434894837074188,0.8510563247591204,0.8434894837074188,0.7937863485409437
LightGBM,5,0.5,rbf,15,713607,713607,0.8324918337404201,0.840041335044962,0.8324918337404201,0.7719450605109558
Decision Tree,5,0.6,rbf,15,570885,856329,0.8313253434135712,0.8354478424085433,0.8313253434135712,0.7693619046863239
Random Forest,5,0.6,rbf,15,570885,856329,0.8313253434135712,0.8354478424085433,0.8313253434135712,0.7693619046863239
Gradient Boosting,5,0.6,rbf,15,570885,856329,0.8313253434135712,0.8354478424085433,0.8313253434135712,0.7693619046863239
XGBoost,5,0.6,rbf,15,570885,856329,0.8313253434135712,0.8354478424085433,0.8313253434135712,0.7693619046863239
LightGBM,5,0.6,rbf,15,570885,856329,0.8282027118081953,0.8333126735155207,0.8282027118081953,0.762939809377094
Decision Tree,10,0.2,rbf,15,1141771,285443,0.8523558118433453,0.8569683388647116,0.8523558118433453,0.8116549200012143
Random Forest,10,0.2,rbf,15,1141771,285443,0.8523663218225705,0.8570962761983644,0.8523663218225705,0.8116807100303759
Gradient Boosting,10,0.2,rbf,15,1141771,285443,0.8485652126694296,0.8467347924845755,0.8485652126694296,0.8063250930853358
XGBoost,10,0.2,rbf,15,1141771,285443,0.8400731494554079,0.8284179920422943,0.8400731494554079,0.7946247681806452
LightGBM,10,0.2,rbf,15,1141771,285443,0.8356764748128348,0.84147045453453,0.8356764748128348,0.7805385320770448
Decision Tree,10,0.3,rbf,15,999049,428165,0.855450585638714,0.8594669028818042,0.855450585638714,0.8141396865711307
Random Forest,10,0.3,rbf,15,999049,428165,0.855487954410099,0.8594963787187605,0.855487954410099,0.8141906830599128
Gradient Boosting,10,0.3,rbf,15,999049,428165,0.8555229876332722,0.859918463365864,0.8555229876332722,0.8142356774158473
XGBoost,10,0.3,rbf,15,999049,428165,0.8555299942779069,0.857846861452221,0.8555299942779069,0.8142364415575636
LightGBM,10,0.3,rbf,15,999049,428165,0.8481823596043582,0.8472128565820916,0.8481823596043582,0.8012902607191905
Decision Tree,10,0.4,rbf,15,856328,570886,0.8403288922832229,0.8534317972273915,0.8403288922832229,0.7880709273262847
Random Forest,10,0.4,rbf,15,856328,570886,0.8404567636971304,0.8538907910871072,0.8404567636971304,0.7882209494340147
Gradient Boosting,10,0.4,rbf,15,856328,570886,0.8379869185791909,0.8486616749051854,0.8379869185791909,0.7847208798993083
XGBoost,10,0.4,rbf,15,856328,570886,0.8352876055814996,0.8357294180090159,0.8352876055814996,0.7801330517600692
LightGBM,10,0.4,rbf,15,856328,570886,0.8312517735589943,0.8435345934382413,0.8312517735589943,0.7704902166583301
Decision Tree,10,0.5,rbf,15,713607,713607,0.8687512874733572,0.875312304157248,0.8687512874733572,0.8375868144652618
Random Forest,10,0.5,rbf,15,713607,713607,0.8688591900023402,0.8756495563894728,0.8688591900023402,0.8377103161383729
Gradient Boosting,10,0.5,rbf,15,713607,713607,0.8692936027813628,0.8774507527626634,0.8692936027813628,0.8379682487040656
XGBoost,10,0.5,rbf,15,713607,713607,0.8679455218348475,0.8742021705286511,0.8679455218348475,0.8368272244332696
LightGBM,10,0.5,rbf,15,713607,713607,0.8512850910935571,0.8535594323492407,0.8512850910935571,0.8078030631629916
Decision Tree,10,0.6,rbf,15,570885,856329,0.8516037644410034,0.8470157137275797,0.8516037644410034,0.8097112904448389
Random Forest,10,0.6,rbf,15,570885,856329,0.8516037644410034,0.8469128736591494,0.8516037644410034,0.8097380845603906
Gradient Boosting,10,0.6,rbf,15,570885,856329,0.8505364176619034,0.8437314057960125,0.8505364176619034,0.8086844768590459
XGBoost,10,0.6,rbf,15,570885,856329,0.8468485827293015,0.8332982866024495,0.8468485827293015,0.8040233745516526
LightGBM,10,0.6,rbf,15,570885,856329,0.8393421220115166,0.8282829107370397,0.8393421220115166,0.7882359334131617
Decision Tree,15,0.2,rbf,15,1141771,285443,0.8566018434503561,0.867022596743701,0.8566018434503561,0.8181806061299127
Random Forest,15,0.2,rbf,15,1141771,285443,0.8565457902278213,0.8669445535617505,0.8565457902278213,0.8180791772069382
Gradient Boosting,15,0.2,rbf,15,1141771,285443,0.8522787386623599,0.8576179056039203,0.8522787386623599,0.8112601401904511
XGBoost,15,0.2,rbf,15,1141771,285443,0.8529373640271438,0.8531157856315315,0.8529373640271438,0.8122988084914623
LightGBM,15,0.2,rbf,15,1141771,285443,0.8306982479864632,0.818752243666472,0.8306982479864632,0.7813390832055156
Decision Tree,15,0.3,rbf,15,999049,428165,0.8934102507211005,0.8911738258346628,0.8934102507211005,0.8739476116894811
Random Forest,15,0.3,rbf,15,999049,428165,0.8934476194924854,0.8913302849494092,0.8934476194924854,0.8739998145280164
Gradient Boosting,15,0.3,rbf,15,999049,428165,0.8905211775834083,0.8865851951887749,0.8905211775834083,0.870833253625808
XGBoost,15,0.3,rbf,15,999049,428165,0.8841100977426927,0.8782196744147104,0.8841100977426927,0.8625796201352889
LightGBM,15,0.3,rbf,15,999049,428165,0.8727056158256746,0.871490247602241,0.8727056158256746,0.8423030220650728
Decision Tree,15,0.4,rbf,15,856328,570886,0.8447641035162887,0.8612660842183074,0.8447641035162887,0.7962935711009839
Random Forest,15,0.4,rbf,15,856328,570886,0.8448446800236825,0.861616435714417,0.8448446800236825,0.7963487703360057
Gradient Boosting,15,0.4,rbf,15,856328,570886,0.8430737485242238,0.8564342919170396,0.8430737485242238,0.7940420071092323
XGBoost,15,0.4,rbf,15,856328,570886,0.8410015309536405,0.850961510815082,0.8410015309536405,0.7898700044461926
LightGBM,15,0.4,rbf,15,856328,570886,0.6469627911702162,0.6611213902190942,0.6469627911702162,0.6538762775138244
Decision Tree,15,0.5,rbf,15,713607,713607,0.8822965581895917,0.8849499313045925,0.8822965581895917,0.8590844435478622
Random Forest,15,0.5,rbf,15,713607,713607,0.8823960527293034,0.8851439212350688,0.8823960527293034,0.8592191980744918
Gradient Boosting,15,0.5,rbf,15,713607,713607,0.881406712658368,0.8845055405859346,0.881406712658368,0.8576368147910263
XGBoost,15,0.5,rbf,15,713607,713607,0.8799128932311482,0.882151163193255,0.8799128932311482,0.8565786595511415
LightGBM,15,0.5,rbf,15,713607,713607,0.8574957925020354,0.8503903757065241,0.8574957925020354,0.8240188247766317
Decision Tree,15,0.6,rbf,15,570885,856329,0.8798592597004189,0.8756829937958851,0.8798592597004189,0.8523568571383446
Random Forest,15,0.6,rbf,15,570885,856329,0.880039097122718,0.8763842733788665,0.880039097122718,0.8525297867393102
Gradient Boosting,15,0.6,rbf,15,570885,856329,0.8782792594902193,0.8733009857555974,0.8782792594902193,0.8502278531202625
XGBoost,15,0.6,rbf,15,570885,856329,0.876429503146571,0.8684447922551894,0.876429503146571,0.8479690282871599
LightGBM,15,0.6,rbf,15,570885,856329,0.8606108166370635,0.8595824260293429,0.8606108166370635,0.8227993381301791
